ID,Year_Birth,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Family_size,Total_Spend,Total_Purchases
2174,1954,3,46344,1,1,38,11,1,6,2,1,6,2,1,1,2,5,71,3,27,6
6182,1984,4,26646,1,0,26,11,4,20,10,3,5,2,2,0,4,6,41,3,53,8
6177,1985,2,33454,1,0,32,76,10,56,3,1,23,2,4,0,4,8,40,3,169,10
4855,1974,4,30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,51,3,46,6
387,1976,2,7500,0,0,59,6,16,11,11,1,16,1,2,0,3,8,49,2,61,6
2569,1987,2,17323,0,0,38,3,14,17,6,1,5,1,1,0,3,8,38,2,46,5
9736,1980,2,41850,1,1,51,53,5,19,2,13,4,3,3,0,3,8,45,4,96,9
2278,1985,3,33812,1,0,86,4,17,19,30,24,39,2,2,1,3,6,40,2,133,8
7892,1969,3,18589,0,0,89,6,4,25,15,12,13,2,2,1,3,7,56,1,75,8
9422,1989,2,38360,1,0,26,36,2,42,20,21,10,2,2,1,4,3,36,3,131,9
6864,1989,1,10979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,36,1,30,8
5710,1970,4,40548,0,1,31,110,0,5,2,0,3,2,2,1,4,5,55,3,120,9
10738,1951,3,49389,1,1,55,40,0,19,2,1,3,1,2,0,3,7,74,3,65,6
10755,1976,2,23718,1,0,76,6,3,14,15,7,36,3,3,1,2,7,49,3,81,9
8595,1973,5,42429,0,1,99,55,0,6,2,0,4,2,1,1,3,5,52,2,67,7
503,1985,2,20559,1,0,88,13,1,29,3,0,7,2,2,0,3,8,40,3,53,7
8430,1957,4,21994,0,1,4,9,0,6,3,1,3,1,0,0,3,5,68,3,22,4
2139,1975,2,7500,1,0,19,3,1,10,3,2,12,3,2,0,3,5,50,3,31,8
9909,1996,2,7500,0,0,24,3,18,14,15,22,50,3,3,1,3,9,29,2,122,10
7286,1968,4,41728,1,0,92,13,6,15,3,5,13,1,2,0,2,10,57,3,55,5
1331,1977,3,35790,1,0,54,12,6,20,30,1,3,2,2,0,3,7,48,2,72,7
7437,1988,3,27938,1,0,31,13,0,8,2,1,5,1,1,0,4,3,37,2,29,6
8082,1971,2,25721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,54,3,34,5
1386,1967,4,32474,1,1,0,10,0,1,0,0,0,1,1,0,2,7,58,4,11,4
1050,1952,2,28332,0,0,58,14,10,13,4,15,9,1,2,1,4,2,73,2,65,8
5846,1977,1,40246,1,0,68,2,1,6,2,1,1,1,1,0,2,6,48,2,13,4
10401,1976,4,26326,0,0,12,1,0,5,0,3,9,1,0,0,3,3,49,2,18,4
3332,1985,3,29760,1,0,87,64,4,68,7,5,17,4,3,1,4,8,40,2,165,12
2261,1969,2,26304,1,0,5,4,1,5,2,0,4,1,1,0,2,7,56,3,16,4
5346,1973,2,23559,1,0,87,25,5,19,7,0,23,3,3,0,3,7,52,3,79,9
5268,1960,2,29440,1,1,95,17,8,14,10,4,3,2,1,0,4,7,65,4,56,7
273,1970,2,36138,1,1,48,130,0,16,0,0,5,5,3,1,4,7,55,4,151,13
771,1967,4,54178,0,1,79,135,9,39,4,0,7,1,2,2,5,2,58,3,194,10
11178,1972,3,42394,1,0,69,15,2,10,0,1,4,1,1,0,3,7,53,2,32,5
2230,1970,2,23626,1,0,84,27,2,14,0,0,0,3,3,1,3,5,55,3,43,10
7516,1983,2,30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,42,3,45,6
11100,1972,1,51813,1,1,37,51,2,7,0,1,2,2,2,0,3,7,53,3,63,7
1473,1960,3,47823,0,1,0,53,1,5,2,1,10,2,2,0,3,8,65,2,72,7
1016,1959,3,34554,0,1,43,41,1,6,2,0,5,2,2,0,3,6,66,2,55,7
8373,1979,4,24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,46,3,29,5
7533,1964,2,49096,1,1,15,144,1,32,2,1,7,4,4,1,4,7,61,4,187,13
3629,1978,3,38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,47,2,145,9
2286,1962,3,50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,63,3,114,8
5234,1967,4,30753,1,1,85,12,5,25,0,9,30,2,1,1,3,5,58,4,81,7
9862,1969,4,21918,1,0,37,1,6,7,11,5,3,2,2,0,3,6,56,3,33,7
6205,1967,3,32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,58,2,80,9
8442,1985,2,19510,2,0,63,9,0,7,3,4,7,2,1,0,3,7,40,4,30,6
7386,1976,1,30992,1,0,83,17,0,14,7,3,2,1,1,0,3,7,49,2,43,5
3381,1953,2,54348,1,1,51,70,0,16,0,0,4,2,2,0,4,6,72,4,90,8
5342,1976,1,9548,1,0,31,0,1,3,10,6,9,2,1,0,3,8,49,2,29,6
7660,1973,0,35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5,52,3,49,6
1461,1965,1,36921,1,1,74,17,1,12,3,1,4,2,2,0,3,7,60,3,38,7
10837,1975,2,23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,50,3,68,6
3120,1981,4,38547,1,0,49,6,1,10,0,1,4,1,1,0,2,8,44,3,22,4
4050,1966,2,49605,0,0,65,42,16,29,12,20,8,1,2,1,4,3,59,2,127,8
92,1988,0,34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,37,2,89,11
9283,1978,3,60199,1,2,49,8,1,7,2,0,0,1,0,0,3,4,47,4,18,4
2795,1958,3,30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,67,4,13,4
8182,1984,2,23228,1,0,91,53,3,49,7,4,5,4,3,0,4,8,41,3,121,11
3152,1957,4,26091,1,1,84,15,10,19,8,17,20,3,2,1,3,5,68,4,89,9
5610,1965,4,33456,1,1,58,7,3,10,8,1,7,2,1,0,3,7,60,4,36,6
6460,1982,2,28718,1,0,78,12,4,6,11,8,16,2,2,0,3,8,43,3,57,7
1349,1970,2,50447,2,0,4,85,7,24,2,3,27,1,3,1,3,6,55,4,148,8
1880,1959,4,53537,1,1,17,81,0,6,0,0,6,2,2,1,3,5,66,4,93,8
641,1967,3,52074,0,1,77,59,0,12,0,0,48,1,2,2,2,4,58,2,119,7
10854,1970,2,38853,1,1,90,29,0,14,0,0,2,2,2,0,3,7,55,4,45,7
7698,1976,2,51650,0,1,81,152,3,22,2,5,7,1,4,1,4,5,49,3,191,10
3559,1988,2,16248,1,0,77,12,11,10,3,12,9,3,2,1,3,6,37,3,57,9
10796,1984,2,30477,1,0,16,47,1,6,0,0,12,1,1,1,3,6,41,3,66,6
2563,1961,2,28249,0,0,80,1,9,7,2,14,10,1,2,0,3,6,64,2,43,6
3518,1983,2,25271,1,0,45,10,1,18,10,4,7,1,1,1,2,9,42,3,50,5
5823,1970,3,32303,0,1,63,35,0,2,0,0,2,2,1,0,4,5,55,2,39,7
6431,1964,2,45759,1,1,13,42,1,18,3,0,4,2,2,0,3,7,61,4,68,7
9733,1978,4,24882,1,0,52,1,4,10,29,0,36,1,1,1,2,6,47,3,80,5
1324,1988,2,38872,1,0,93,23,3,21,3,19,22,2,3,0,3,8,37,3,91,8
